city,state,category_family,status,fallback_org,fallback_url,evidence_url,rights,http_status,reason,check_date,claim
Eureka Springs,AR,music_hobby,FALLBACK,Eureka Springs Carnegie Public Library / Carroll and Madison Library System,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,PUBLIC_USE,,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Eureka Springs,AR,outdoor_recreation,FALLBACK,Eureka Springs Carnegie Public Library / Carroll and Madison Library System,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,https://library.arkansas.gov/facilities/eureka-springs-carnegie-library/,PUBLIC_USE,,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Rogers,AR,telescope_science,ACCEPTED_CANDIDATE,Rogers Public Library,https://rogerspubliclibrary.org/,https://rogerspubliclibrary.org/check-out-our-telescope/,LINK_ONLY,200,Official telescope checkout page retrieved (HTTP 200). Eligibility remains on the source page.,2026-09-12,source_finder_only_unknown_remains_unknown
Rogers,AR,tools_home_repair,FALLBACK,Rogers Public Library,https://rogerspubliclibrary.org/,https://rogerspubliclibrary.org/,LINK_ONLY,200,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Rogers,AR,maker_technology,CANDIDATE,Rogers Public Library,https://rogerspubliclibrary.org/,https://rogerspubliclibrary.org/summer-steam-3d-printing-x-2/,LINK_ONLY,,Library publishes 3D-printing programs; not confirmed as an open makerspace.,2026-09-12,source_finder_only_unknown_remains_unknown
Rogers,AR,music_hobby,FALLBACK,Rogers Public Library,https://rogerspubliclibrary.org/,https://rogerspubliclibrary.org/,LINK_ONLY,200,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Rogers,AR,outdoor_recreation,FALLBACK,Rogers Public Library,https://rogerspubliclibrary.org/,https://rogerspubliclibrary.org/,LINK_ONLY,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Lake Ozark,MO,telescope_science,FALLBACK,Camden County Library District,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,Homepage retrieved; no specialized telescope program found.,2026-09-12,source_finder_only_unknown_remains_unknown
Lake Ozark,MO,tools_home_repair,FALLBACK,Camden County Library District,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Lake Ozark,MO,maker_technology,FALLBACK,Camden County Library District,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Lake Ozark,MO,music_hobby,FALLBACK,Camden County Library District,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Lake Ozark,MO,outdoor_recreation,FALLBACK,Camden County Library District,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Osage Beach,MO,telescope_science,FALLBACK,Camden County Library District — Osage Beach Library,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,Official district homepage retrieved; no telescope program found.,2026-09-12,source_finder_only_unknown_remains_unknown
Osage Beach,MO,tools_home_repair,FALLBACK,Camden County Library District — Osage Beach Library,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Osage Beach,MO,maker_technology,FALLBACK,Camden County Library District — Osage Beach Library,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Osage Beach,MO,music_hobby,FALLBACK,Camden County Library District — Osage Beach Library,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Osage Beach,MO,outdoor_recreation,FALLBACK,Camden County Library District — Osage Beach Library,https://ccld.us/,https://ccld.us/,LINK_ONLY,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Rolla,MO,telescope_science,FALLBACK,Rolla Public Library,https://rollapubliclibrary.org/,https://rollapubliclibrary.org/,LINK_ONLY,200,Homepage retrieved; no specialized telescope program found.,2026-09-12,source_finder_only_unknown_remains_unknown
Rolla,MO,tools_home_repair,FALLBACK,Rolla Public Library,https://rollapubliclibrary.org/,https://rollapubliclibrary.org/,LINK_ONLY,200,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Rolla,MO,maker_technology,FALLBACK,Rolla Public Library,https://rollapubliclibrary.org/,https://rollapubliclibrary.org/,LINK_ONLY,200,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Rolla,MO,music_hobby,FALLBACK,Rolla Public Library,https://rollapubliclibrary.org/,https://rollapubliclibrary.org/,LINK_ONLY,200,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Rolla,MO,outdoor_recreation,FALLBACK,Rolla Public Library,https://rollapubliclibrary.org/,https://rollapubliclibrary.org/,LINK_ONLY,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
West Plains,MO,telescope_science,FALLBACK,West Plains Public Library,https://westplains.gov/departments/community-services/west-plains-public-library/,https://westplains.gov/departments/community-services/west-plains-public-library/,PUBLIC_USE,200,City library page retrieved; no specialized telescope program found.,2026-09-12,source_finder_only_unknown_remains_unknown
West Plains,MO,tools_home_repair,FALLBACK,West Plains Public Library,https://westplains.gov/departments/community-services/west-plains-public-library/,https://westplains.gov/departments/community-services/west-plains-public-library/,PUBLIC_USE,200,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
West Plains,MO,maker_technology,FALLBACK,West Plains Public Library,https://westplains.gov/departments/community-services/west-plains-public-library/,https://westplains.gov/departments/community-services/west-plains-public-library/,PUBLIC_USE,200,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
West Plains,MO,music_hobby,FALLBACK,West Plains Public Library,https://westplains.gov/departments/community-services/west-plains-public-library/,https://westplains.gov/departments/community-services/west-plains-public-library/,PUBLIC_USE,200,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
West Plains,MO,outdoor_recreation,FALLBACK,West Plains Public Library,https://westplains.gov/departments/community-services/west-plains-public-library/,https://westplains.gov/departments/community-services/west-plains-public-library/,PUBLIC_USE,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Joplin,MO,telescope_science,HOLD,Joplin Public Library,https://www.joplinpubliclibrary.org/,https://www.joplinpubliclibrary.org/library-of-things/,REVIEW_HOLD,timeout,Official Library of Things URLs timed out this pass. Search snippets do not establish a telescope.,2026-09-12,source_finder_only_unknown_remains_unknown
Joplin,MO,tools_home_repair,HOLD,Joplin Public Library,https://www.joplinpubliclibrary.org/,https://www.joplinpubliclibrary.org/lot-tools-tech/,REVIEW_HOLD,timeout,Official Tools & Tech LOT URL timed out; do not copy listings.,2026-09-12,source_finder_only_unknown_remains_unknown
Joplin,MO,maker_technology,HOLD,Joplin Public Library,https://www.joplinpubliclibrary.org/,https://www.joplinpubliclibrary.org/library-of-things/,REVIEW_HOLD,timeout,Homepage/LOT timed out; makerspace not independently retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Joplin,MO,music_hobby,HOLD,Joplin Public Library,https://www.joplinpubliclibrary.org/,https://www.joplinpubliclibrary.org/library-of-things/,REVIEW_HOLD,timeout,LOT page not retrieved this pass.,2026-09-12,source_finder_only_unknown_remains_unknown
Joplin,MO,outdoor_recreation,HOLD,Joplin Public Library,https://www.joplinpubliclibrary.org/,https://www.joplinpubliclibrary.org/library-of-things/,REVIEW_HOLD,timeout,LOT page not retrieved this pass.,2026-09-12,source_finder_only_unknown_remains_unknown
Neosho,MO,telescope_science,FALLBACK,Neosho Newton County Library,https://www.newtoncolib.org/,https://www.newtoncolib.org/,LINK_ONLY,200,Homepage retrieved; no specialized telescope program found.,2026-09-12,source_finder_only_unknown_remains_unknown
Neosho,MO,tools_home_repair,FALLBACK,Neosho Newton County Library,https://www.newtoncolib.org/,https://www.newtoncolib.org/,LINK_ONLY,200,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Neosho,MO,maker_technology,FALLBACK,Neosho Newton County Library,https://www.newtoncolib.org/,https://www.newtoncolib.org/,LINK_ONLY,200,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Neosho,MO,music_hobby,FALLBACK,Neosho Newton County Library,https://www.newtoncolib.org/,https://www.newtoncolib.org/,LINK_ONLY,200,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Neosho,MO,outdoor_recreation,FALLBACK,Neosho Newton County Library,https://www.newtoncolib.org/,https://www.newtoncolib.org/,LINK_ONLY,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Harrison,AR,telescope_science,ACCEPTED_CANDIDATE,Boone County Library,https://boonecountylibrary.org/,https://boonecountylibrary.org/telescope-lending-program,LINK_ONLY,200,Official telescope lending program page retrieved (HTTP 200).,2026-09-12,source_finder_only_unknown_remains_unknown
Harrison,AR,tools_home_repair,FALLBACK,Boone County Library,https://boonecountylibrary.org/,https://boonecountylibrary.org/,LINK_ONLY,200,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Harrison,AR,maker_technology,FALLBACK,Boone County Library,https://boonecountylibrary.org/,https://boonecountylibrary.org/,LINK_ONLY,200,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Harrison,AR,music_hobby,FALLBACK,Boone County Library,https://boonecountylibrary.org/,https://boonecountylibrary.org/,LINK_ONLY,200,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Harrison,AR,outdoor_recreation,FALLBACK,Boone County Library,https://boonecountylibrary.org/,https://boonecountylibrary.org/,LINK_ONLY,200,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain Home,AR,telescope_science,ACCEPTED_CANDIDATE,Baxter County Library,https://www.baxtercountylibrary.org/,https://www.baxtercountylibrary.org/special-collections,LINK_ONLY,200,Official Special Collections page retrieved (HTTP 200). Page describes Orion telescopes as checkout items; currency unknown.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain Home,AR,tools_home_repair,FALLBACK,Baxter County Library,https://www.baxtercountylibrary.org/,https://www.baxtercountylibrary.org/,LINK_ONLY,200,No official tool library page retrieved. Special Collections is not a generic fallback.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain Home,AR,maker_technology,FALLBACK,Baxter County Library,https://www.baxtercountylibrary.org/,https://www.baxtercountylibrary.org/,LINK_ONLY,200,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain Home,AR,music_hobby,ACCEPTED_CANDIDATE,Baxter County Library,https://www.baxtercountylibrary.org/,https://www.baxtercountylibrary.org/special-collections,LINK_ONLY,200,Official Special Collections page retrieved; ukuleles listed among special collections.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain Home,AR,outdoor_recreation,ACCEPTED_CANDIDATE,Baxter County Library,https://www.baxtercountylibrary.org/,https://www.baxtercountylibrary.org/special-collections,LINK_ONLY,200,Official Special Collections page retrieved; fishing kits listed among special collections.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain View,AR,telescope_science,FALLBACK,White River Regional Library System / Mountain View Public Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official specialized telescope page retrieved; do not manufacture a folk-music or tourism source as a lending program.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain View,AR,tools_home_repair,FALLBACK,White River Regional Library System / Mountain View Public Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain View,AR,maker_technology,FALLBACK,White River Regional Library System / Mountain View Public Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain View,AR,music_hobby,FALLBACK,White River Regional Library System / Mountain View Public Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,Ozark Folk Center is not treated as a CIBT borrowing source without an official lending program page.,2026-09-12,source_finder_only_unknown_remains_unknown
Mountain View,AR,outdoor_recreation,FALLBACK,White River Regional Library System / Mountain View Public Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Batesville,AR,telescope_science,FALLBACK,Independence County Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official specialized telescope page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Batesville,AR,tools_home_repair,FALLBACK,Independence County Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official tool library page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Batesville,AR,maker_technology,FALLBACK,Independence County Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official makerspace page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Batesville,AR,music_hobby,FALLBACK,Independence County Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official instrument-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
Batesville,AR,outdoor_recreation,FALLBACK,Independence County Library (IMLS identity),https://library.arkansas.gov/,https://library.arkansas.gov/,PUBLIC_USE,,No official recreation-lending page retrieved.,2026-09-12,source_finder_only_unknown_remains_unknown
