fscskey,fscs_seq,libname,city,state,zip,lat,lon,outlet_type
AK0039,002,KETCHIKAN PUBLIC LIBRARY,KETCHIKAN,AK,99901,55.34897234,-131.6513366,CE
AK0040,002,KODIAK PUBLIC LIBRARY,KODIAK,AK,99615,57.79264832,-152.3976899,CE
AK0041,002,CHUKCHI CONSORTIUM LIBRARY,KOTZEBUE,AK,99752,66.89890809,-162.5885076,CE
AK0044,002,MCGRATH COMMUNITY LIBRARY,MCGRATH,AK,99627,62.949847,-155.5888396,CE
AK0046,002,CENTENNIAL LIBRARY,METLAKATLA,AK,99926,55.1284829,-131.5752065,CE
AK0047,003,SOUTH NAKNEK PUBLIC LIBRARY,SOUTH NAKNEK,AK,99670,58.73308352,-156.9884739,BR
AK0047,004,MARTIN MONSEN REGIONAL LIBRARY,NAKNEK,AK,99633,58.68176467,-156.6670293,CE
AK0048,002,NENANA PUBLIC LIBRARY,NENANA,AK,99760,64.56236984,-149.0951976,CE
AK0051,002,NINILCHIK COMMUNITY LIBRARY,NINILCHIK,AK,99639,60.04210659,-151.6748656,CE
AK0052,002,KEGOAYAH KOZGA LIBRARY,NOME,AK,99762,64.50286866,-165.4008025,CE
AK0055,002,PALMER PUBLIC LIBRARY,PALMER,AK,99645,61.60668571,-149.1128845,CE
AK0056,002,PELICAN PUBLIC LIBRARY,PELICAN,AK,99832,57.9603988,-136.2295943,CE
AK0057,002,PETERSBURG PUBLIC LIBRARY,PETERSBURG,AK,99833,56.81029914,-132.9549869,CE
AK0058,002,JESSIE WAKEFIELD MEMORIAL LIBRARY,PORT LIONS,AK,99550,57.86640932,-152.8837433,CE
AK0064,002,SELDOVIA PUBLIC LIBRARY,SELDOVIA,AK,99663,59.43856754,-151.7147251,CE
AK0065,002,SEWARD COMMUNITY LIBRARY & MUSEUM,SEWARD,AK,99664,60.10272208,-149.4371796,CE
AK0067,002,SITKA PUBLIC LIBRARY,SITKA,AK,99835,57.04976271,-135.3339844,CE
AK0068,002,SKAGWAY PUBLIC LIBRARY,SKAGWAY,AK,99840,59.45761117,-135.3139954,CE
AK0069,002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,SOLDOTNA,AK,99669,60.49232862,-151.072403,CE
AK0070,002,SUTTON PUBLIC LIBRARY,SUTTON,AK,99674,61.710949,-148.8775024,CE
AK0072,002,TALKEETNA PUBLIC LIBRARY,TALKEETNA,AK,99676,62.3003346,-150.0845841,CE
AK0073,002,TANANA COMMUNITY/SCHOOL LIBRARY,TANANA,AK,99777,65.1709277,-152.0887492,CE
AK0074,002,DERMOTT O`TOOLE MEMORIAL LIBRARY,TENAKEE SPRINGS,AK,99841,57.78092016,-135.2283304,CE
AK0075,002,TOK COMMUNITY LIBRARY,TOK,AK,99780,63.3364502,-142.9860232,CE
AK0077,002,VALDEZ CONSORTIUM LIBRARY,VALDEZ,AK,99686,61.12984079,-146.355011,CE
AK0078,002,WASILLA PUBLIC LIBRARY,WASILLA,AK,99654,61.58360669,-149.4297028,CE
AK0080,002,WILLOW PUBLIC LIBRARY,WILLOW,AK,99688,61.7449672,-150.0517254,CE
AK0081,002,IRENE INGLE PUBLIC LIBRARY,WRANGELL,AK,99929,56.47325593,-132.3870714,CE
AK0085,004,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,KENNY LAKE,AK,99573,61.69461427,-144.8440235,CE
AK0094,003,ALAK COMMUNITY/SCHOOL LIBRARY,WAINWRIGHT,AK,99782,70.636159,-160.034173,BR
AK0094,004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,POINT HOPE,AK,99766,68.35012052,-166.7362366,BR
AK0094,005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,ANAKTUVUK PASS,AK,99721,68.14024311,-151.7380253,BR
AK0094,006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,ATQASUK,AK,99791,70.4810318,-157.4186121,BR
AK0094,007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,KAKTOVIK,AK,99747,70.13031769,-143.6214753,BR
AK0094,008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,NUIQSUT,AK,99789,70.21929717,-150.9938729,BR
AK0094,009,KALI COMMUNITY/SCHOOL LIBRARY,POINT LAY,AK,99759,69.74314111,-163.010971,BR
AK0094,010,TUZZY CONSORTIUM LIBRARY,BARROW,AK,99723,71.29885097,-156.7532958,CE
AK0099,002,MOOSE PASS PUBLIC LIBRARY,MOOSE PASS,AK,99631,60.48780827,-149.3696337,CE
AK0103,002,TRAPPER CREEK PUBLIC LIBRARY,TRAPPER CREEK,AK,99683,62.30724723,-150.2389374,CE
AK0113,002,OUZINKIE TRIBAL MEDIA CENTER,OUZINKIE,AK,99644,57.92239105,-152.49424,CE
AK0115,002,UNALASKA PUBLIC LIBRARY,UNALASKA,AK,99685,53.87138358,-166.5317688,CE
AK0117,001,HYDER PUBLIC LIBRARY,HYDER,AK,99923,55.92411827,-130.03509,CE
AK0124,001,LAKE MINCHUMINA COMMUNITY LIBRARY,LAKE MINCHUMINA,AK,99757,63.8824601,-152.3137222,CE
AK0126,001,IGIUGIG TRIBAL LIBRARY,IGIUGIG,AK,99613,59.32617888,-155.8954602,CE
AK0127,001,COFFMAN COVE COMMUNITY LIBRARY,COFFMAN COVE,AK,99918,56.013706,-132.829086,CE
AK0130,001,THORNE BAY PUBLIC LIBRARY,THORNE BAY,AK,99919,55.6856068,-132.523108,CE
AK0134,001,WHALE PASS COMMUNITY LIBRARY,WHALE PASS,AK,99950,56.1142292,-133.1215872,CE
AK0137,001,KLUKWAN COMMUNITY/SCHOOL LIBRARY,KLUKWAN,AK,99827,59.39906458,-135.8946926,CE
AK0139,001,SAMUEL B. FOSS LIBRARY,PEDRO BAY,AK,99647,59.785083,-154.121394,CE
AK0140,001,EDNA BAY COMMUNITY LIBRARY,EDNA BAY,AK,99950,55.958,-133.665,CE
AK0141,001,CITY OF ADAK PUBLIC LIBRARY,ADAK,AK,99546,51.8680915,-176.6403504,CE
AK0142,001,SHIRLY JACKSON COMMUNITY LIBRARY,KAKE,AK,99830,56.9747591,-133.941086,CE
AL0001,003,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,JASPER,AL,35501,33.83343511,-87.27458952,CE
AL0002,002,ARLEY PUBLIC LIBRARY,ARLEY,AL,35541,34.08002861,-87.21269981,CE
AL0005,002,DOUBLE SPRINGS PUBLIC LIBRARY,DOUBLE SPRINGS,AL,35553,34.14731979,-87.39198311,CE
AL0006,002,HALEYVILLE PUBLIC LIBRARY,HALEYVILLE,AL,35565,34.22636411,-87.62351985,CE
AL0007,002,JASPER PUBLIC LIBRARY,JASPER,AL,35501,33.83343511,-87.27458952,CE
AL0009,002,SUMITON PUBLIC LIBRARY,SUMITON,AL,35148,33.75237662,-87.049591,CE
AL0010,002,CHEAHA REGIONAL LIBRARY,HEFLIN,AL,36264,33.64381035,-85.58913414,CE
AL0010,006,CHEAHA REGIONAL BOOKMOBILE,HEFLIN,AL,36264,33.64381035,-85.58913414,BS
AL0011,002,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,ROANOKE,AL,36274,33.14950564,-85.37042229,CE
AL0012,002,ASHLAND CITY PUBLIC LIBRARY,ASHLAND,AL,36251,33.27471543,-85.83787541,CE
AL0013,002,SYLACUGA - B. B. COMER MEMORIAL LIBRARY,SYLACAUGA,AL,35150,33.17220299,-86.25070946,CE
AL0014,002,CHEROKEE COUNTY PUBLIC LIBRARY,CENTRE,AL,35960,34.14931116,-85.67644507,CE
AL0015,002,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,CHILDERSBURG,AL,35044,33.27763749,-86.3557052,CE
AL0016,002,LINCOLN PUBLIC LIBRARY,LINCOLN,AL,35096,33.60380177,-86.12305441,CE
AL0017,002,LINEVILLE PUBLIC LIBRARY,LINEVILLE,AL,36266,33.3107605,-85.75447849,CE
AL0018,002,HEFLIN - LUCILE MORGAN PUBLIC LIBRARY,HEFLIN,AL,36264,33.64389807,-85.5878678,CE
AL0019,002,OXFORD PUBLIC LIBRARY,OXFORD,AL,36203,33.6096572,-85.83535774,CE
AL0020,002,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,TALLADEGA,AL,35160,33.43323138,-86.09916691,CE
AL0022,002,ABBEVILLE MEMORIAL LIBRARY,ABBEVILLE,AL,36310,31.56716534,-85.25044238,CE
AL0024,002,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,HEADLAND,AL,36345,31.35235987,-85.34185708,CE
AL0025,002,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,BRUNDIDGE,AL,36010,31.71845438,-85.81567393,CE
AL0026,002,OZARK - DALE COUNTY PUBLIC LIBRARY,OZARK,AL,36360,31.46219638,-85.64094536,CE
AL0029,002,CLIO - ELTON B. STEPHENS LIBRARY,CLIO,AL,36017,31.7076463,-85.6126856,CE
AL0030,002,LOUISVILLE PUBLIC LIBRARY,LOUISVILLE,AL,36048,31.78387073,-85.55525214,CE
AL0031,002,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,MIDLAND CITY,AL,36350,31.31794928,-85.49496454,CE
AL0032,002,NEWTON PUBLIC LIBRARY,NEWTON,AL,36352,31.33097467,-85.59619899,CE
AL0033,002,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,CLAYTON,AL,36016,31.8810348,-85.44962306,CE
AL0034,002,TROY PUBLIC LIBRARY,TROY,AL,36079,31.80753712,-85.96555325,CE
AL0035,002,UNION SPRINGS PUBLIC LIBRARY,UNION SPRINGS,AL,36089,32.1438065,-85.71615601,CE
AL0037,002,ANDALUSIA PUBLIC LIBRARY,ANDALUSIA,AL,36420,31.30677415,-86.48294836,CE
AL0038,002,BRANTLEY PUBLIC LIBRARY,BRANTLEY,AL,36009,31.5823832,-86.2571786,CE
AL0039,002,ELBA PUBLIC LIBRARY,ELBA,AL,36323,31.4148214,-86.0663485,CE
AL0040,002,GENEVA - EMMA KNOX KENAN LIBRARY,GENEVA,AL,36340,31.03552629,-85.86478425,CE
AL0041,002,ENTERPRISE PUBLIC LIBRARY,ENTERPRISE,AL,36330,31.31402399,-85.85285957,CE
AL0041,003,ENTERPRISE PUBLIC LIBRARY BOOKMOBILE,ENTERPRISE,AL,36330,31.31402399,-85.85285957,BS
AL0042,002,FLORALA PUBLIC LIBRARY,FLORALA,AL,36442,31.00573914,-86.32714847,CE
AL0043,002,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,HARTFORD,AL,36344,31.09830477,-85.69662475,CE
AL0044,002,LUVERNE PUBLIC LIBRARY,LUVERNE,AL,36049,31.71630094,-86.26135246,CE
AL0045,002,OPP PUBLIC LIBRARY,OPP,AL,36467,31.30464355,-86.25499722,CE
AL0046,002,SAMSON PUBLIC LIBRARY,SAMSON,AL,36477,31.11672593,-86.04596705,CE
AL0047,002,SLOCOMB PUBLIC LIBRARY,SLOCOMB,AL,36375,31.10696022,-85.59365852,CE
AL0048,002,HORSESHOE BEND REGIONAL LIBRARY,DADEVILLE,AL,36853,32.83290477,-85.76539617,CE
AL0048,008,HORSESHOE BEND REGIONAL BOOKMOBILE,DADEVILLE,AL,36853,32.83290477,-85.76539617,BS
AL0049,002,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,ALEXANDER CITY,AL,35010,32.9408149,-85.95381163,CE
AL0049,003,MAMIE`S PLACE,ALEXANDER CITY,AL,35010,32.94117737,-85.95388799,BR
AL0050,002,DADEVILLE PUBLIC LIBRARY,DADEVILLE,AL,36853,32.83290477,-85.76538855,CE
AL0051,002,GOODWATER PUBLIC LIBRARY,GOODWATER,AL,35072,33.06515427,-86.04954007,CE
AL0052,002,AUBURN PUBLIC LIBRARY,AUBURN,AL,36830,32.60444644,-85.46591186,CE
AL0053,002,OPELIKA PUBLIC LIBRARY,OPELIKA,AL,36801,32.64875037,-85.3754806,CE
AL0054,002,MILLBROOK PUBLIC LIBRARY,MILLBROOK,AL,36054,32.4768906,-86.36338051,CE
AL0055,002,ROCKFORD PUBLIC LIBRARY,ROCKFORD,AL,35136,32.88906478,-86.21962735,CE
AL0056,002,TALLASSEE COMMUNITY PUBLIC LIBRARY,TALLASSEE,AL,36078,32.53404612,-85.88394168,CE
AL0057,002,WETUMPKA PUBLIC LIBRARY,WETUMPKA,AL,36092,32.5358545,-86.2062768,CE
AL0059,002,FLORENCE - LAUDERDALE PUBLIC LIBRARY,FLORENCE,AL,35630,34.80350504,-87.67459867,CE
AL0060,002,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,TUSCUMBIA,AL,35674,34.73751067,-87.70348363,CE
AL0061,002,LEIGHTON PUBLIC LIBRARY,LEIGHTON,AL,35646,34.70061487,-87.52900694,CE
AL0062,002,MUSCLE SHOALS PUBLIC LIBRARY,MUSCLE SHOALS,AL,35661,34.74443433,-87.64493562,CE
AL0063,002,ROGERSVILLE PUBLIC LIBRARY,ROGERSVILLE,AL,35652,34.82472223,-87.29200745,CE
AL0064,002,SHEFFIELD PUBLIC LIBRARY,SHEFFIELD,AL,35660,34.76161191,-87.69857787,CE
AL0065,002,NORTHWEST REGIONAL LIBRARY,WINFIELD,AL,35594,33.93117142,-87.81499488,CE
AL0066,002,HAMILTON - CLYDE NIX PUBLIC LIBRARY,HAMILTON,AL,35570,34.14340213,-87.99283598,CE
AL0067,002,KENNEDY PUBLIC LIBRARY,KENNEDY,AL,35574,33.5858346,-87.9862852,CE
AL0068,002,GUIN - MCHS COMMUNITY LIBRARY,GUIN,AL,35563,33.973877,-87.91502384,CE
AL0069,002,MILLPORT PUBLIC LIBRARY,MILLPORT,AL,35576,33.56143626,-88.08040172,CE
AL0070,002,RUSSELLVILLE PUBLIC LIBRARY,RUSSELLVILLE,AL,35653,34.5046722,-87.7293372,CE
AL0071,002,SULLIGENT PUBLIC LIBRARY,SULLIGENT,AL,35586,33.9010771,-88.132438,CE
AL0072,002,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,VERNON,AL,35592,33.7578736,-88.10920705,CE
AL0073,002,RED BAY - WEATHERFORD PUBLIC LIBRARY,RED BAY,AL,35582,34.4405994,-88.1409252,CE
AL0074,002,WINFIELD PUBLIC LIBRARY,WINFIELD,AL,35594,33.93117142,-87.81499488,CE
AL0076,002,ATHENS - LIMESTONE PUBLIC LIBRARY,ATHENS,AL,35611,34.7958527,-86.97181691,CE
AL0077,002,DECATUR PUBLIC LIBRARY,DECATUR,AL,35602,34.60601801,-86.98140715,CE
AL0078,002,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,HARTSELLE,AL,35640,34.44418723,-86.93496696,CE
AL0079,002,LAWRENCE COUNTY PUBLIC LIBRARY,LAWRENCE,AL,35650,34.47600556,-87.29364788,CE
AL0081,002,DAPHNE PUBLIC LIBRARY,DAPHNE,AL,36526,30.61769483,-87.90657044,CE
AL0082,002,FAIRHOPE PUBLIC LIBRARY,FAIRHOPE,AL,36532,30.52307705,-87.90139771,CE
AL0083,002,FOLEY PUBLIC LIBRARY,FOLEY,AL,36535,30.40745159,-87.67911526,CE
AL0084,002,BAY MINETTE PUBLIC LIBRARY,BAY MINETTE,AL,36507,30.88233368,-87.77678681,CE
AL0085,002,LOXLEY PUBLIC LIBRARY,LOXLEY,AL,36551,30.6199734,-87.7529306,CE
AL0086,002,OSCAR JOHNSON MEMORIAL LIBRARY,SILVERHILL,AL,36576,30.54496769,-87.75188451,CE
AL0087,002,ROBERTSDALE PUBLIC LIBRARY,ROBERTSDALE,AL,36567,30.55367096,-87.71189118,CE
AL0088,002,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,GULF SHORES,AL,36542,30.27246469,-87.68997192,CE
AL0090,002,ADAMSVILLE PUBLIC LIBRARY,ADAMSVILLE,AL,35005,33.60037268,-86.95361627,CE
AL0091,002,BESSEMER PUBLIC LIBRARY,BESSEMER,AL,35020,33.40336222,-86.95497129,CE
AL0092,002,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,MOUNTAIN BROOK,AL,35213,33.50132751,-86.75672143,CE
AL0093,002,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,FAIRFIELD,AL,35064,33.49111173,-86.91536705,CE
AL0094,002,FULTONDALE PUBLIC LIBRARY,FULTONDALE,AL,35068,33.6138192,-86.7953899,CE
AL0095,002,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,GARDENDALE,AL,35071,33.65055083,-86.81793204,CE
AL0096,002,GRAYSVILLE PUBLIC LIBRARY,GRAYSVILLE,AL,35073,33.6265754,-86.97332766,CE
AL0097,002,HOMEWOOD PUBLIC LIBRARY,HOMEWOOD,AL,35209,33.47481153,-86.79529562,CE
AL0097,003,HOOVER PUBLIC LIBRARY BOOKMOBILE,HOOVER,AL,35216,33.38882058,-86.80466466,BS
AL0098,002,HOOVER PUBLIC LIBRARY,HOOVER,AL,35216,33.38882058,-86.80466466,CE
AL0099,002,HUEYTOWN PUBLIC LIBRARY,HUEYTOWN,AL,35023,33.44801714,-86.99697879,CE
AL0100,002,IRONDALE PUBLIC LIBRARY,IRONDALE,AL,35210,33.5377388,-86.70655054,CE
AL0101,002,LEEDS - JANE CULBRETH LIBRARY,LEEDS,AL,35094,33.54347612,-86.54166409,CE
AL0103,002,PLEASANT GROVE PUBLIC LIBRARY,PLEASANT GROVE,AL,35127,33.4898985,-86.971324,CE
AL0104,002,TARRANT PUBLIC LIBRARY,TARRANT,AL,35217,33.58312215,-86.76995084,CE
AL0105,002,TRUSSVILLE PUBLIC LIBRARY,TRUSSVILLE,AL,35173,33.62668994,-86.60478971,CE
AL0106,002,VESTAVIA HILLS LIBRARY IN THE FOREST,VESTAVIA HILLS,AL,35216,33.431446,-86.78848256,CE
AL0107,002,WARRIOR PUBLIC LIBRARY,WARRIOR,AL,35180,33.81344713,-86.8079434,CE
AL0107,003,BOOKMOBILE,BIRMINGHAM,AL,35211,33.52037434,-86.80831917,BS
AL0108,003,BIRMINGHAM PUBLIC - AVONDALE REGIONAL LIBRARY,BIRMINGHAM,AL,35222,33.52053393,-86.77391481,BR
AL0108,004,BIRMINGHAM PUBLIC - CENTRAL BRANCH,BIRMINGHAM,AL,35203,33.52037434,-86.80831917,CE
AL0108,005,BIRMINGHAM PUBLIC - EAST ENSLEY BRANCH,BIRMINGHAM,AL,35218,33.51476155,-86.88850099,BR
AL0108,006,BIRMINGHAM PUBLIC - EAST LAKE BRANCH,BIRMINGHAM,AL,35206,33.56065549,-86.72767616,BR
AL0108,008,BIRMINGHAM PUBLIC - ENSLEY BRANCH,BIRMINGHAM,AL,35218,33.50415456,-86.89365323,BR
AL0108,009,BIRMINGHAM PUBLIC - FIVE POINTS WEST BRANCH,BIRMINGHAM,AL,35208,33.49383921,-86.87437443,BR
AL0108,010,BIRMINGHAM PUBLIC - INGLENOOK BRANCH,BIRMINGHAM,AL,35217,33.56247576,-86.77599102,BR
AL0108,011,BIRMINGHAM PUBLIC - NORTH AVONDALE BRANCH,BIRMINGHAM,AL,35222,33.53083424,-86.7722702,BR
AL0108,012,BIRMINGHAM PUBLIC - NORTH BIRMINGHAM REGIONAL BRANCH,BIRMINGHAM,AL,35207,33.55236811,-86.81967925,BR
AL0108,013,BIRMINGHAM PUBLIC - POWDERLY BRANCH,BIRMINGHAM,AL,35221,33.46385567,-86.8876419,BR
AL0108,014,BIRMINGHAM PUBLIC - PRATT CITY BRANCH,BIRMINGHAM,AL,35214,33.54091069,-86.87854744,BR
AL0108,016,BIRMINGHAM PUBLIC - SMITHFIELD BRANCH,BIRMINGHAM,AL,35204,33.53737747,-86.87907004,BR
AL0108,017,BIRMINGHAM PUBLIC - SOUTHSIDE BRANCH,BIRMINGHAM,AL,35205,33.4997101,-86.79829408,BR
AL0108,018,BIRMINGHAM PUBLIC - SPRINGVILLE ROAD REGIONAL BRANCH,BIRMINGHAM,AL,35215,33.6158562,-86.67633822,BR
AL0108,019,BIRMINGHAM PUBLIC - TITUSVILLE BRANCH,BIRMINGHAM,AL,35211,33.53899876,-86.84150539,BR
AL0108,020,BIRMINGHAM PUBLIC - WEST END BRANCH,BIRMINGHAM,AL,35211,33.4922295,-86.85509497,BR
AL0108,021,BIRMINGHAM PUBLIC - WOODLAWN BRANCH,BIRMINGHAM,AL,35212,33.54237357,-86.74987794,BR
AL0108,022,BIRMINGHAM PUBLIC - WYLAM BRANCH,BIRMINGHAM,AL,35224,33.50573736,-86.92006679,BR
AL0108,027,BOOKMOBILE,BIRMINGHAM,AL,35211,33.52037434,-86.80831917,BS
AL0109,002,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,FORT PAYNE,AL,35967,34.44515994,-85.72010808,CE
AL0110,002,COLLINSVILLE PUBLIC LIBRARY,COLLINSVILLE,AL,35961,34.26415633,-85.86119042,CE
AL0111,002,GERALDINE PUBLIC LIBRARY,GERALDINE,AL,35974,34.35850138,-86.00582889,CE
AL0112,002,RAINSVILLE PUBLIC LIBRARY,RAINSVILLE,AL,35986,34.48802575,-85.83258819,CE
AL0113,003,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,ATMORE,AL,36502,31.02260781,-87.48551936,CE
AL0114,002,ATMORE PUBLIC LIBRARY,ATMORE,AL,36502,31.02260781,-87.48551936,CE
AL0115,002,BREWTON PUBLIC LIBRARY,BREWTON,AL,36426,31.12026406,-87.07096108,CE
AL0116,002,FLOMATON PUBLIC LIBRARY,FLOMATON,AL,36441,31.0017195,-87.2623208,CE
AL0117,002,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,GADSDEN,AL,35901,34.01279829,-86.00979604,CE
AL0117,005,GADSDEN - ETOWAH COUNTY PUBLIC - EAST GADSDEN BRANCH,GADSDEN,AL,35903,34.00233838,-85.98481755,BR
AL0117,008,HOYT WARSHAM ALABAMA CITY BRANCH LIBRARY,GADSDEN,AL,35904,34.02255625,-86.04564661,BR
AL0118,002,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,ATTALLA,AL,35954,34.0243241,-86.087737,CE
AL0119,002,RAINBOW CITY PUBLIC LIBRARY,RAINBOW CITY,AL,35906,33.9498744,-86.0465921,CE
AL0121,002,DEMOPOLIS PUBLIC LIBRARY,DEMOPOLIS,AL,36732,32.51735692,-87.83567806,CE
AL0122,002,MARENGO COUNTY PUBLIC LIBRARY,LINDEN,AL,36748,32.3050267,-87.796288,CE
AL0123,004,MARSHALL COUNTY COOPERATIVE LIBRARY,GUNTERSVILLE,AL,35976,34.35848625,-86.29317478,BS
AL0124,002,ARAB PUBLIC LIBRARY,ARAB,AL,35016,34.32077791,-86.49695594,CE
AL0125,002,BOAZ PUBLIC LIBRARY,BOAZ,AL,35957,34.20079809,-86.16144554,CE
AL0126,002,GUNTERSVILLE PUBLIC LIBRARY,GUNTERSVILLE,AL,35976,34.34867481,-86.30337522,CE
AL0127,002,ALBERTVILLE PUBLIC LIBRARY,ALBERTVILLE,AL,35950,34.26426691,-86.20337668,CE
AL0128,002,HARRISON REGIONAL LIBRARY SYSTEM,COLUMBIANA,AL,35051,33.17965702,-86.60874941,CE
AL0128,004,HARPERSVILLE PUBLIC LIBRARY,HARPERSVILLE,AL,35078,33.34324273,-86.43883515,BR
AL0128,005,WESTOVER PUBLIC LIBRARY,WESTOVER,AL,35147,33.35826875,-86.51889038,BR
AL0129,002,ALABASTER - ALBERT L. SCOTT LIBRARY,ALABASTER,AL,35007,33.24483876,-86.82666028,CE
AL0130,002,CALERA PUBLIC LIBRARY,CALERA,AL,35040,33.09729384,-86.76835635,CE
AL0131,002,COLUMBIANA PUBLIC LIBRARY,COLUMBIANA,AL,35051,33.17965702,-86.60874941,CE
AL0132,002,HELENA - JANE B. HOLMES PUBLIC LIBRARY,HELENA,AL,35080,33.28905875,-86.84259034,CE
AL0133,002,VINCENT - LALLOUSE MCGRAW PUBLIC LIBRARY,VINCENT,AL,35178,33.38692468,-86.4108199,CE
